PIVlab, ASCII chart output - 03-Feb-2026
FRAME: 74, filenames: MEAN of frames 1:73 & MEAN of frames 1:73, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
533,603,9.066949844,10.63105011,2
533,619,7.529409885,7.773808479,2
533,635,NaN,NaN,2
533,651,NaN,NaN,2
533,667,6.124816895,4.880158901,2
533,683,NaN,NaN,0
533,699,NaN,NaN,0
533,715,NaN,NaN,0
533,731,NaN,NaN,0
533,747,NaN,NaN,0
533,763,NaN,NaN,0
549,91,NaN,NaN,0
549,107,NaN,NaN,0
549,123,NaN,NaN,0
549,139,NaN,NaN,2
549,155,-7.495224953,6.617629528,2
549,171,-8.118708611,7.701401711,2
549,187,-9.006117821,9.014616966,2
549,203,-8.94985199,9.96312809,1
549,219,-8.691482544,10.37592411,1
549,235,-7.852769852,10.15856934,1
549,251,-7.833745003,11.00154209,1
549,267,-6.48331213,10.33939552,1
549,283,-6.568263531,11.78794289,1
549,299,-5.695421696,11.95668793,1
549,315,-5.70460844,13.91633034,1
549,331,-4.167184353,13.4625988,1
549,347,-3.152367592,14.32387638,1
549,363,-2.271021128,14.02370548,1
549,379,-1.663164377,15.40872097,1
549,395,-0.1257686913,13.67056084,1
549,411,0.222734049,12.83177853,1
549,427,1.896166325,14.72185421,1
549,443,2.758658171,15.12503815,1
549,459,3.913791418,15.14444256,1
549,475,4.805971146,15.45938683,1
549,491,5.415146351,13.86994553,1
549,507,6.831345558,14.57346725,1
549,523,8.013794899,14.13604069,1
549,539,8.498300552,12.74015617,1
549,555,9.174890518,12.70867157,1
549,571,8.812158585,11.10745144,1
549,587,8.900510788,10.32781029,1
549,603,10.49451637,11.28746033,1
549,619,10.08502388,9.77266407,2
549,635,10.18924046,9.541759491,2
549,651,NaN,NaN,2
549,667,NaN,NaN,2
549,683,7.291061878,5.920063972,1
549,699,NaN,NaN,0
549,715,NaN,NaN,0
549,731,NaN,NaN,0
549,747,NaN,NaN,0
549,763,NaN,NaN,0
565,91,NaN,NaN,0
565,107,NaN,NaN,0
565,123,-9.348249435,5.354231358,2
565,139,-6.852762222,4.750858307,2
565,155,-6.610604763,5.146485806,2
565,171,-9.809473038,8.208986282,2
565,187,-9.793319702,9.184053421,1
565,203,-8.341573715,8.503767014,1
565,219,-9.195533752,9.886959076,1
565,235,-8.582290649,9.999941826,1
565,251,-7.085134506,8.888022423,1
565,267,-7.852694511,11.4947834,1
565,283,-7.432943344,12.41458893,1
565,299,-6.728332996,13.18915081,1
565,315,-5.512339592,13.08486462,1
565,331,-3.76911211,11.25073242,1
565,347,-4.807378292,15.70116234,1
565,363,-2.749800205,14.22333336,2
565,379,-1.410013795,13.68643379,1
565,395,-0.5270363688,14.12458611,1
565,411,0.4092457592,13.56160164,1
565,427,1.735116601,14.77942848,1
565,443,3.169420719,15.12405682,1
565,459,4.432471752,14.1110096,1
565,475,5.590071678,15.32983303,1
565,491,5.962515831,14.31180382,1
565,507,7.795476437,14.28107548,1
565,523,7.510149479,12.46998119,1
565,539,8.417161942,12.25203133,1
565,555,9.947422981,12.34917641,1
565,571,9.35869503,10.58719254,1
565,587,10.33001709,10.88068581,1
565,603,10.67968655,10.44809055,1
565,619,10.30704498,9.418684006,1
565,635,10.82376862,9.142602921,2
565,651,11.1420145,9.014047623,2
565,667,NaN,NaN,2
565,683,NaN,NaN,2
565,699,NaN,NaN,0
565,715,NaN,NaN,0
565,731,NaN,NaN,0
565,747,NaN,NaN,0
565,763,NaN,NaN,0
581,91,NaN,NaN,0
581,107,NaN,NaN,0
581,123,NaN,NaN,2
581,139,-8.415380478,5.956258297,2
581,155,-8.430995941,6.359769821,2
581,171,-9.866420746,7.578622341,1
581,187,-9.507194519,8.266927719,1
581,203,-9.749876976,8.992796898,1
581,219,-8.680315018,8.628720284,1
581,235,-8.998052597,9.861129761,1
581,251,-8.405020714,10.15631771,1
581,267,-8.656309128,11.69725227,1
581,283,-7.687485218,12.2349205,1
581,299,-6.828130722,12.64348221,1
581,315,-6.13888979,13.57789135,2
581,331,-5.392923832,14.19608879,1
581,347,-3.64543581,12.38128853,2
581,363,-3.441179752,14.13976479,1
581,379,-2.359322071,15.02925587,1
581,395,-1.70697391,16.05666351,1
581,411,0.2037030905,14.66632366,1
581,427,0.7540429235,15.29393005,1
581,443,2.934215546,15.63382626,1
581,459,3.932830095,14.48028564,1
581,475,6.074195862,15.58106136,1
581,491,6.330221653,13.68311501,1
581,507,8.640982628,14.95216751,1
581,523,8.993644714,13.29175377,1
581,539,10.27988529,13.73559189,1
581,555,9.811833382,11.68712997,1
581,571,10.01173592,10.8056879,1
581,587,11.12853718,10.68921185,1
581,603,10.58874798,9.525835991,1
581,619,10.48459244,8.551157951,1
581,635,11.5331583,8.900775909,1
581,651,11.39184952,8.274563789,1
581,667,10.41297531,6.57737112,2
581,683,NaN,NaN,2
581,699,NaN,NaN,2
581,715,NaN,NaN,0
581,731,NaN,NaN,0
581,747,NaN,NaN,0
581,763,NaN,NaN,0
597,91,NaN,NaN,0
597,107,NaN,NaN,2
597,123,NaN,NaN,2
597,139,-8.299672127,5.307940483,2
597,155,-8.859205246,5.959249973,2
597,171,-9.9186306,7.332603455,1
597,187,-9.270569801,7.293560028,2
597,203,-9.981487274,8.325365067,1
597,219,-8.691462517,7.561219692,1
597,235,-8.848855019,9.083557129,1
597,251,-9.613143921,10.64798927,1
597,267,-9.534575462,12.07465553,1
597,283,-8.742132187,12.69361115,2
597,299,-7.200074196,12.29851437,2
597,315,-6.061760902,12.1020937,1
597,331,-5.253013611,12.10239315,2
597,347,-4.452872753,14.19394016,2
597,363,-3.187918425,11.17900372,2
597,379,-2.42263937,13.43370628,2
597,395,-1.507505178,14.67668915,2
597,411,0.2154081315,12.06388187,1
597,427,1.071798801,12.65046024,1
597,443,2.054383278,13.9277401,1
597,459,3.767393827,14.69435596,1
597,475,6.374910355,15.08421421,1
597,491,7.610020161,14.31225204,1
597,507,7.997236252,13.1662817,1
597,523,9.750906944,13.36521721,1
597,539,10.8320322,12.97152233,1
597,555,10.26830387,10.43453598,1
597,571,10.28535557,10.69538689,1
597,587,11.26709652,9.675285339,1
597,603,12.29982281,9.931387901,1
597,619,13.0277586,10.1334877,1
597,635,11.04589939,7.507614613,1
597,651,11.5337286,7.709526539,1
597,667,10.76792145,7.062345028,1
597,683,10.79980087,6.323793411,2
597,699,NaN,NaN,2
597,715,10.39934158,6.2311759,2
597,731,NaN,NaN,0
597,747,NaN,NaN,0
597,763,NaN,NaN,0
613,91,NaN,NaN,0
613,107,NaN,NaN,2
613,123,-9.919978142,5.52003479,2
613,139,-9.782474518,5.640597343,2
613,155,-10.17010212,6.328006268,1
613,171,-8.319372177,5.365578175,2
613,187,-10.86400223,7.809948444,1
613,203,-8.873125076,7.113799095,1
613,219,-10.09133816,8.367369652,1
613,235,-10.65680122,9.756009102,1
613,251,-9.190515518,9.856001854,1
613,267,-9.709663391,11.10017681,1
613,283,-9.910991669,12.60546207,1
613,299,-8.817809105,12.42152309,2
613,315,-6.154675007,9.690281868,2
613,331,-4.957479,9.982598305,2
613,347,-2.98282671,9.051334381,2
613,363,-2.873849392,10.74768066,2
613,379,-3.059292316,14.10496044,2
613,395,-2.282561302,12.21678448,1
613,411,-0.784875989,9.767612457,2
613,427,0.887352705,11.64241695,2
613,443,1.170741439,11.37620258,1
613,459,3.733020544,12.29615879,2
613,475,5.239412308,12.67245483,1
613,491,6.992269039,13.51621819,1
613,507,9.501675606,14.85019398,1
613,523,9.920025826,12.3438282,1
613,539,10.52891254,11.97906876,1
613,555,12.18516541,11.81169128,1
613,571,12.21685219,10.5799284,1
613,587,12.1695528,9.539906502,1
613,603,13.38521481,9.898347855,1
613,619,14.39045525,9.763205528,1
613,635,12.6183672,7.709225178,1
613,651,12.48266315,7.285101891,1
613,667,11.43379211,6.35955286,1
613,683,12.03536415,6.526611328,2
613,699,NaN,NaN,2
613,715,NaN,NaN,2
613,731,NaN,NaN,0
613,747,NaN,NaN,0
613,763,NaN,NaN,0
629,91,NaN,NaN,2
629,107,NaN,NaN,2
629,123,-10.2092495,5.003314972,2
629,139,-10.42296124,5.72003746,2
629,155,-8.965935707,5.124679089,2
629,171,-11.71972656,7.274345875,2
629,187,-10.92202091,7.318015099,1
629,203,-11.04388332,7.504051208,1
629,219,-10.61906147,8.036916733,1
629,235,-10.74192142,9.247638702,1
629,251,-9.421449661,8.939632416,2
629,267,-9.084178925,9.750607491,2
629,283,-8.365398407,9.095720291,2
629,299,-5.428318024,7.027800083,2
629,315,-5.996164799,8.507369041,2
629,331,-4.843806744,9.287005424,2
629,347,-4.485429764,8.477086067,2
629,363,-3.833768368,12.06322861,2
629,379,-2.402867556,8.812909126,2
629,395,-2.122986794,11.87068653,1
629,411,-0.6795893312,10.47226143,1
629,427,0.6531925201,11.71670246,2
629,443,2.297863245,11.13247299,1
629,459,3.14119792,11.29155254,1
629,475,4.501657486,12.31077957,1
629,491,6.171970367,12.1575985,1
629,507,7.891663551,11.70756721,1
629,523,10.46481991,11.54601574,1
629,539,11.015625,11.2473011,1
629,555,11.21691036,10.10315323,1
629,571,12.45947838,9.868449211,1
629,587,12.50102425,9.451130867,1
629,603,12.57342529,8.195351601,1
629,619,12.85309887,7.560139656,1
629,635,12.90076256,7.190136909,1
629,651,12.67747974,7.018482685,1
629,667,12.62970924,6.504346371,1
629,683,12.06692314,6.328153133,1
629,699,10.94747543,5.029501915,2
629,715,NaN,NaN,2
629,731,NaN,NaN,2
629,747,NaN,NaN,0
629,763,NaN,NaN,0
645,91,NaN,NaN,2
645,107,-11.85137653,5.600309849,2
645,123,-11.40595055,4.989686966,2
645,139,-10.781744,5.088702679,2
645,155,-11.2954092,5.64224577,2
645,171,-11.63981628,6.262507439,1
645,187,-11.13055897,6.379400253,1
645,203,-11.13287258,6.862828732,1
645,219,-11.08117008,7.259327412,1
645,235,-10.88290501,7.980741501,2
645,251,-10.47880268,8.876268387,2
645,267,-10.87128544,10.38925457,1
645,283,-8.002934456,8.051932335,2
645,299,-5.639540195,5.063398361,2
645,315,NaN,NaN,2
645,331,-6.918750286,10.63751411,2
645,347,-4.202860832,8.505822182,2
645,363,-3.830370188,11.14901543,2
645,379,-4.302442074,10.88261604,2
645,395,-1.842607737,8.117819786,2
645,411,-2.427412748,8.119684219,2
645,427,-1.062875152,10.59799671,2
645,443,0.8369886875,9.166255951,2
645,459,3.53704524,10.70659733,1
645,475,4.480609894,10.1746769,1
645,491,6.632627487,11.40211678,1
645,507,7.221218586,9.287857056,1
645,523,9.474858284,11.1063633,1
645,539,11.5823946,9.993124008,1
645,555,13.09198761,10.53545952,1
645,571,12.62982559,9.161431313,1
645,587,14.1491642,9.159308434,1
645,603,13.31886292,7.878999233,1
645,619,13.74284077,7.506619453,1
645,635,14.25703049,6.95272398,1
645,651,12.93636227,6.188437462,1
645,667,12.20751953,5.676065922,1
645,683,13.06447887,6.094155788,1
645,699,12.96591759,5.477615356,2
645,715,11.66474438,4.761107922,2
645,731,NaN,NaN,2
645,747,NaN,NaN,0
645,763,NaN,NaN,0
661,91,-10.44659996,4.104139328,2
661,107,-11.7743206,4.32772398,2
661,123,-11.43232822,4.864289761,1
661,139,-10.78033257,4.239902973,2
661,155,-11.83135509,5.599947929,2
661,171,-12.46239567,6.1602211,1
661,187,-12.37679195,6.268885612,1
661,203,-12.11448288,6.362731934,2
661,219,-12.18208408,7.146864414,2
661,235,-11.57241821,7.905100346,2
661,251,-12.10746861,8.503117561,2
661,267,-10.30796528,7.845565319,2
661,283,-8.916018486,7.995862007,2
661,299,-7.363861084,7.650857925,2
661,315,-5.528301716,6.606227398,2
